Designator,Mid X,Mid Y,Layer,Rotation
C752,16.0875mm,14.75mm,Bottom,180.0
C753,16.0625mm,12.825mm,Bottom,0.0
C755,14.0625mm,17.950000000000003mm,Bottom,0.0
C756,11.9275mm,17.950000000000003mm,Bottom,0.0
C757,11.9275mm,17.0mm,Bottom,0.0
C760,6.737500000000001mm,11.25mm,Bottom,270.0
C761,3.7874999999999996mm,18.84mm,Bottom,180.0
C762,6.733936999999999mm,13.085389mm,Bottom,90.0
C764,15.8825mm,17.950000000000003mm,Bottom,180.0
C766,15.932500000000001mm,18.880000000000003mm,Bottom,180.0
R752,4.496753mm,13.199mm,Bottom,0.0
R753,4.496753mm,11.275mm,Bottom,180.0
R754,15.9875mm,17.0mm,Bottom,180.0
R757,15.9375mm,16.05mm,Bottom,0.0
R760,16.0625mm,13.775mm,Bottom,0.0
R761,14.1125mm,17.0mm,Bottom,180.0
R762,14.0375mm,16.05mm,Bottom,180.0
R763,15.9475mm,10.74mm,Bottom,0.0
R765,11.9275mm,18.880000000000003mm,Bottom,180.0
R766,11.940415mm,16.050073mm,Bottom,180.0
U752,8.9375mm,17.65mm,Bottom,0.0
U753,11.153217mm,12.8mm,Bottom,270.0
U757,4.8375mm,16.570784mm,Bottom,0.0
C751,7.9125mm,12.15mm,Top,270.0
C754,11.4875mm,11.17mm,Top,90.0
C758,13.7875mm,11.17mm,Top,270.0
C759,11.4875mm,13.161593mm,Top,90.0
C763,3.7874999999999996mm,14.4mm,Top,180.0
C765,6.9475mm,16.22mm,Top,0.0
C767,13.7875mm,13.161593mm,Top,90.0
C768,9.1775mm,17.47mm,Top,90.0
C769,16.2775mm,13.75mm,Top,180.0
D751,4.2275mm,15.64mm,Top,0.0
R751,4.0875mm,17.25mm,Top,180.0
R755,8.4275mm,13.55mm,Top,180.0
R756,8.3825mm,10.675mm,Top,0.0
R758,9.1375mm,12.114215mm,Top,270.0
R759,8.4275mm,14.55mm,Top,0.0
R764,12.4875mm,11.17mm,Top,90.0
R767,10.4875mm,13.161593mm,Top,270.0
R768,12.4875mm,13.161593mm,Top,90.0
R769,10.4875mm,11.17mm,Top,90.0
R770,6.5275mm,14.56mm,Top,0.0
U751,5.163206mm,12.231597mm,Top,180.0
U754,13.33553mm,16.85mm,Top,270.0
U755,7.147499999999999mm,18.14mm,Top,0.0
U756,15.684295mm,11.75mm,Top,90.0
C474,27.1036mm,16.415mm,Bottom,270.0
R470,23.450000000000003mm,15.5mm,Bottom,180.0
U471,28.485mm,16.447mm,Top,180.0
R474,29.35mm,16.4146mm,Bottom,180.0
R473,28.090400000000002mm,15.950000000000001mm,Bottom,270.0
R472,25.575000000000003mm,15.5mm,Bottom,180.0
C473,29.450000000000003mm,17.400000000000002mm,Bottom,180.0
C472,29.450000000000003mm,15.55mm,Bottom,0.0
U470,24.51mm,16.447mm,Top,180.0
R471,23.450000000000003mm,16.400000000000002mm,Bottom,0.0
C471,23.5mm,17.400000000000002mm,Bottom,0.0
C470,25.625mm,17.400000000000002mm,Bottom,180.0
U700,5.790876000000001mm,3.051398mm,Top,0.0
R711,14.615876mm,3.176398mm,Top,0.0
R710,17.765876mm,3.176398mm,Top,0.0
R708,14.615876mm,1.401398mm,Top,0.0
R707,17.765876mm,1.401398mm,Top,0.0
R705,17.765876mm,6.776398mm,Top,0.0
R703,14.590876mm,4.9763980000000005mm,Top,0.0
R702,17.765876mm,4.9763980000000005mm,Top,0.0
R701,4.440875999999999mm,6.176398000000001mm,Top,180.0
R700,4.415876000000001mm,7.3513980000000005mm,Top,180.0
D701,1.265876mm,2.776398mm,Top,90.0
D700,1.140876mm,6.426398000000001mm,Top,90.0
C703,12.190876000000001mm,2.151398mm,Top,90.0
C702,7.165876000000001mm,6.201398mm,Top,0.0
C701,7.1408760000000004mm,7.301398000000001mm,Top,0.0
C700,10.465876mm,5.3513980000000005mm,Top,90.0
R706,14.590876mm,6.776398mm,Top,0.0
C821,11.315000000000001mm,29.434991999999998mm,Bottom,90.0
C822,13.115mm,29.434991999999998mm,Bottom,90.0
C823,14.915mm,29.434991999999998mm,Bottom,90.0
C824,16.715mm,29.434991999999998mm,Bottom,90.0
C825,18.515mm,29.434991999999998mm,Bottom,90.0
C826,11.315000000000001mm,25.634991999999997mm,Bottom,270.0
C827,13.115mm,25.634991999999997mm,Bottom,270.0
C828,14.915mm,25.634991999999997mm,Bottom,270.0
C829,16.715mm,25.634991999999997mm,Bottom,270.0
C830,18.515mm,25.634991999999997mm,Bottom,270.0
C831,12.615mm,33.934999999999995mm,Bottom,180.0
C832,12.615mm,32.434999999999995mm,Bottom,180.0
C833,12.09mm,22.734992mm,Bottom,180.0
R821,15.615mm,32.434999999999995mm,Bottom,0.0
R822,18.615000000000002mm,32.434999999999995mm,Bottom,180.0
U821,14.915mm,27.534991999999995mm,Top,270.0
